muestra,t,M 5A,DUT 30A,
16,7990,66.824,337.893,
17,8521,69.767,335.002,
18,9053,64.044,336.823,
19,9586,69.075,332.468,
20,10117,65.729,336.649,
21,10650,64.368,341.830,
22,11183,64.547,341.197,
23,11714,64.658,336.273,
24,12247,64.381,332.175,
25,12779,64.841,346.070,
26,13312,63.982,346.173,
27,13844,69.419,339.433,
28,14377,68.506,332.888,
29,14908,68.748,337.659,
30,15441,67.106,334.691,
31,15973,65.223,330.157,
32,16505,64.152,338.192,
33,17041,67.257,332.410,
34,17575,66.397,329.133,
35,18106,69.316,341.149,
36,18640,67.224,338.605,
37,19170,64.420,340.225,
38,19703,64.797,324.584,
39,20235,67.166,332.419,
40,20768,65.317,336.552,
41,21298,64.960,337.257,
42,21832,66.074,333.638,
43,22362,66.747,328.906,
44,22896,67.220,341.416,
45,23426,64.489,340.349,
46,23959,65.685,333.774,
47,24490,67.487,339.440,
48,25022,65.844,331.784,
49,25554,69.171,198.598,
50,26088,67.259,139.984,
51,26619,67.728,144.525,
52,27172,68.752,143.350,
53,27712,66.053,143.388,
muestra,t,M 5A,DUT 30A,
2,539,66.197,140.880,
3,1071,67.309,232.390,
4,1603,66.971,544.009,
5,2134,65.487,544.822,
6,2667,66.954,522.502,
7,3198,67.341,493.806,
8,3731,69.162,567.215,
9,4263,69.081,543.809,
10,4796,66.784,341.909,
11,5326,65.700,343.565,
12,5859,67.132,354.097,
13,6392,67.816,331.452,
14,6924,66.663,348.248,
15,7456,66.768,336.523,
16,7988,65.922,331.030,
17,8520,66.885,335.016,
18,9053,67.531,330.677,
19,9588,64.265,334.166,
20,10122,66.481,330.520,
21,10653,67.505,331.212,
22,11186,64.290,346.847,
23,11718,66.808,335.770,
24,12252,67.054,340.883,
25,12783,66.281,337.334,
26,13350,68.638,327.670,
27,13883,66.073,336.620,
28,14415,66.844,343.433,
29,14947,66.144,337.015,
30,15480,66.500,357.215,
31,16012,65.475,344.415,
32,16545,67.206,344.076,
33,17076,66.388,323.384,
34,17609,67.167,335.080,
35,18141,66.378,335.229,
36,18673,68.874,337.547,
37,19204,66.296,334.531,
38,19742,66.137,342.465,
39,20274,65.640,327.611,
40,20806,67.114,340.846,
41,21338,64.585,333.492,
42,21871,64.462,334.444,
43,22402,66.282,340.053,
44,22935,65.336,337.236,
45,23467,68.101,334.195,
46,23999,67.132,334.526,
47,24530,67.169,326.463,
48,25063,68.549,333.462,
49,25596,65.064,230.947,
50,26128,65.144,148.724,
51,26661,68.364,143.843,
52,27192,67.197,142.665,
53,27725,67.677,142.210,
muestra,t,M 5A,DUT 30A,
2,539,68.859,137.981,
3,1071,68.021,208.949,
4,1607,64.979,545.376,
5,2139,62.823,561.899,
6,2670,67.301,518.125,
7,3203,62.517,495.095,
8,3736,65.364,570.920,
9,4268,68.111,541.794,
10,4800,64.388,340.607,
11,5332,63.430,337.467,
12,5865,64.273,343.056,
13,6398,63.135,334.007,
14,6930,66.016,339.430,
15,7461,64.359,333.336,
16,7994,65.217,332.438,
17,8525,66.647,337.515,
18,9059,65.748,337.736,
19,9592,65.407,333.858,
20,10125,64.213,334.029,
21,10656,65.865,328.649,
22,11189,65.404,334.565,
23,11720,65.088,333.698,
24,12257,65.678,330.996,
25,12790,65.420,326.090,
26,13323,66.707,357.780,
27,13856,67.099,339.958,
28,14388,65.717,338.759,
29,14920,64.624,339.995,
30,15452,65.243,339.766,
31,15984,66.848,329.222,
32,16515,66.870,339.210,
33,17047,66.050,345.020,
34,17580,66.402,341.909,
35,18111,66.327,337.874,
36,18644,65.432,339.069,
37,19176,67.257,346.263,
38,19708,66.470,336.620,
39,20241,64.578,332.322,
40,20774,68.357,357.989,
41,21306,65.892,325.645,
42,21838,66.165,338.188,
43,22387,65.437,334.166,
44,22920,63.891,341.292,
45,23451,66.574,339.012,
46,23983,67.024,331.281,
47,24514,65.286,345.065,
48,25048,65.268,338.983,
49,25579,65.776,231.102,
50,26147,65.491,142.254,
51,26678,67.730,140.187,
52,27211,67.138,141.387,
53,27743,65.025,142.027,
muestra,t,M 5A,DUT 30A,
2,537,66.644,138.838,
3,1070,65.725,243.125,
4,1601,63.881,544.809,
5,2133,66.324,545.710,
6,2664,67.776,530.836,
7,3197,63.717,498.066,
8,3728,63.917,569.967,
9,4260,66.300,539.293,
10,4797,64.908,339.165,
11,5328,65.959,325.823,
12,5860,65.094,341.111,
13,6391,67.296,331.069,
14,6925,67.217,336.543,
15,7457,65.512,336.803,
16,8006,65.142,335.877,
17,8540,65.813,333.868,
18,9075,65.920,332.087,
19,9607,65.756,340.130,
20,10140,66.460,332.449,
21,10672,66.285,333.297,
22,11204,66.387,327.389,
